name,type,start_time,duration,"value"
"USB LS and FS","v1frame",0.000607708,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.000608375,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.000609042,0.000000917,"Frame # 0x601"
"USB LS and FS","v1frame",0.000609958,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.000610375,0.00000025,"EOP"
"USB LS and FS","v1frame",0.000733,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.000733667,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.000734333,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.00073525,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.000735667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.000736292,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.000736958,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.000737625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.000738458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.000739125,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.000739792,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.000740708,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.000741125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.000741792,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.000742458,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.000743125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.001608,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.001608667,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.001609333,0.000000917,"Frame # 0x602"
"USB LS and FS","v1frame",0.00161025,0.000000417,"CRC OK 0x0B"
"USB LS and FS","v1frame",0.001610667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.001733417,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.001734083,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.00173475,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.001735667,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.001736083,0.00000025,"EOP"
"USB LS and FS","v1frame",0.001736792,0.000001458,"Error packet"
"USB LS and FS","v1frame",0.001738958,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.001739625,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.001740292,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.001741208,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.001741625,0.00000025,"EOP"
"USB LS and FS","v1frame",0.00174225,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.001742917,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.001743583,0.00000025,"EOP"
"USB LS and FS","v1frame",0.001744417,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.001745083,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.00174575,0.000000917,"Address=0x03 Endpoint=0x01"
"USB LS and FS","v1frame",0.001746667,0.000000417,"CRC OK 0x1C"
"USB LS and FS","v1frame",0.001747083,0.00000025,"EOP"
"USB LS and FS","v1frame",0.002608208,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.002608875,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.002609542,0.000000917,"Frame # 0x603"
"USB LS and FS","v1frame",0.002610458,0.000000417,"CRC OK 0x14"
"USB LS and FS","v1frame",0.002610875,0.00000025,"EOP"
"USB LS and FS","v1frame",0.002733542,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.002734208,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.002734875,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.002735792,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.002736208,0.00000025,"EOP"
"USB LS and FS","v1frame",0.002736833,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.0027375,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.002738167,0.00000025,"EOP"
"USB LS and FS","v1frame",0.002739,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.002739667,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.002740333,0.000000917,"Address=0x02 Endpoint=0x01"
"USB LS and FS","v1frame",0.00274125,0.000000417,"CRC OK 0x03"
"USB LS and FS","v1frame",0.002741667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.002742333,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.002743,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.002743667,0.00000025,"EOP"
"USB LS and FS","v1frame",0.003608458,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.003609125,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.003609792,0.000000917,"Frame # 0x604"
"USB LS and FS","v1frame",0.003610708,0.000000417,"CRC OK 0x1B"
"USB LS and FS","v1frame",0.003611125,0.00000025,"EOP"
"USB LS and FS","v1frame",0.003733792,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.003734458,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.003735125,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.003736042,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.003736458,0.00000025,"EOP"
